date,order_id,product,plan,price_idr,quantity,total_idr,channel,branch
2024-11-01,BAO-2401,Brain Academy Online,Premium,2086565,1,2218363,Marketplace,Medan
2024-11-01,BAO-2402,Brain Academy Online,Elite,3089739,1,3634962,Direct Sales,Medan
2024-11-02,BAO-2403,Brain Academy Online,Premium,2303240,2,3241140,Marketplace,Medan
2024-11-03,BAO-2404,Brain Academy Online,Elite,3359214,1,3662169,Referral,Medan
2024-11-04,BAO-2405,Brain Academy Online,Premium,1912765,1,2187908,Direct Sales,Medan
2024-11-05,BAO-2406,Brain Academy Online,Premium,1653644,3,5674105,Marketplace,Medan
2024-11-06,BAO-2407,Brain Academy Online,Elite,4108601,2,6897972,Direct Sales,Medan
2024-11-07,BAO-2408,Brain Academy Online,Premium,2302593,1,1736091,Marketplace,Medan
2024-11-08,BAO-2409,Brain Academy Online,Elite,3579431,1,4140150,Direct Sales,Medan
2024-11-09,BAO-2410,Brain Academy Online,Premium,1679001,2,4264871,Referral,Medan
2024-11-10,BAO-2411,Brain Academy Online,Premium,1759376,1,2257229,Marketplace,Medan
2024-11-11,BAO-2412,Brain Academy Online,Elite,3376493,1,3261840,Direct Sales,Medan
2024-11-12,BAO-2413,Brain Academy Online,Premium,2075050,2,3648861,Marketplace,Medan
2024-11-13,BAO-2414,Brain Academy Online,Elite,3660884,1,4332608,Referral,Medan
2024-11-14,BAO-2415,Brain Academy Online,Premium,1581836,1,2241412,Direct Sales,Medan
2024-11-15,BAO-2416,Brain Academy Online,Premium,2250541,2,4789352,Marketplace,Medan
2024-11-16,BAO-2417,Brain Academy Online,Elite,3256897,1,3728741,Marketplace,Medan
2024-11-17,BAO-2418,Brain Academy Online,Premium,2464011,1,2374688,Direct Sales,Medan
2024-11-18,BAO-2419,Brain Academy Online,Elite,3270078,2,6737506,Referral,Medan
2024-11-19,BAO-2420,Brain Academy Online,Premium,1956857,1,2429107,Marketplace,Medan
2024-11-20,BAO-2421,Brain Academy Online,Premium,1823655,3,6287797,Marketplace,Medan
2024-11-21,BAO-2422,Brain Academy Online,Elite,4846481,1,4275489,Direct Sales,Medan
2024-11-22,BAO-2423,Brain Academy Online,Premium,1583742,1,2294943,Referral,Medan
2024-11-23,BAO-2424,Brain Academy Online,Elite,3283613,1,4053772,Marketplace,Medan
2024-11-24,BAO-2425,Brain Academy Online,Premium,1843671,2,3959067,Direct Sales,Medan
2024-11-25,BAO-2426,Brain Academy Online,Premium,1919428,1,2020431,Marketplace,Medan
2024-11-26,BAO-2427,Brain Academy Online,Elite,4798175,2,8422622,Direct Sales,Medan
2024-11-27,BAO-2428,Brain Academy Online,Premium,2405502,1,2285189,Referral,Medan
2024-11-28,BAO-2429,Brain Academy Online,Premium,1688245,2,3518630,Marketplace,Medan
2024-11-29,BAO-2430,Brain Academy Online,Elite,4114569,1,3028689,Direct Sales,Medan
2024-11-30,BAO-2431,Brain Academy Online,Premium,1586594,1,2089086,Marketplace,Medan
